word,phonetic,definition
ability,英/əˈbɪləti/美/əˈbɪləti/,n. 能力，能够；才能，技能，本领
achieve,英/əˈtʃiːv/美/əˈtʃiːv/,v. （经努力）达到，取得，实现；获得成功
activity,英/ækˈtɪvəti/美/ækˈtɪvəti/,n. 活跃状况，热闹；活动；（Activity）热力活性，活度
actual,英/ˈæktʃuəl/美/ˈæktʃuəl/,adj. 真实的，实际的，现实的；（用于对比主次方面）真正的；现存的，当前的
address,英/əˈdres/美/əˈdres/,n. 地址，住址；网址；电子邮箱地址；演讲，演说；（电子表格中某个单元格的）位置；<古>（对他人的）谈吐；<古>谦恭（或脉脉含情）的方式；<旧>机敏，迅速；位置存储编码||v. 演说，演讲；处理，设法解决；在（信封、包裹等）上写姓名和地址，致函；<正式> 向……讲话；称呼；<正式>（向某人）提出（陈述、投诉等）；（高尔夫）就位击（球）
advantage,英/ədˈvɑːntɪdʒ/美/ədˈvæntɪdʒ/,n. 有利条件，优势；优点；利益；（局末平分后）占先，优势分||v. 有利于，有助于
advice,英/ədˈvaɪs/美/ədˈvaɪs/,n. 忠告，劝告，建议；（金融交易）正式通知；消息
affect,英/əˈfekt/美/əˈfekt/,v. 影响；（疾病）侵袭，感染；（在感情上）深深打动，震撼；<正式> 假装，佯装||n. （尤指影响行为或行动的）情感，感情
afraid,英/əˈfreɪd/美/əˈfreɪd/,adj. 害怕的；担心的；（害怕后果而）不愿意的，勉强的；遗憾的
afternoon,英/ˌɑːftəˈnuːn/美/ˌæftərˈnuːn/,n. 午后，下午
again,英/əˈɡen/美/əˈɡen/,adv. 再一次；复原；<非正式>请再说一遍；不过，然而（then again）；增加，多||【名】 （Again）（英、保）阿盖恩（人名）
against,英/əˈɡenst/美/əˈɡenst/,prep. 反对；（行为）违背……；（法律或法规）禁止；与……竞争；对……造成伤害（威胁，不利）；碰；倚着；逆向；以……为背景；与……相比；防备，抵御；讨厌某人，不赞同某人；作为（某物的）应付款项；（赌博用语）预计……的失败
age,英/eɪdʒ/美/eɪdʒ/,n. 年龄，年纪；寿命，（物的）年代；法定年龄；时代，时期；年龄段；<非正式>很长时间；成长，年老，陈年；（地质）代||v. 变老，老化；（使）显老，（使）苍老；（使）变陈，（使）成熟；<英>推算年龄||【名】 （Age）（西、荷）阿赫，（瑞典）阿格，（日）扬（人名）
agree,英/əˈɡriː/美/əˈɡriː/,v. 同意，赞成；答应，接受；达成一致意见；商定，约定；相符，吻合；赞同；（语法）呼应；批准，认可（计划、要求等）；适合（某人）
air,英/eə(r)/美/er/,n. 大气，空气；空中，天空；乘坐飞机，航空；神态，氛围；曲调，旋律；装腔作势，做作；空气媒质；气，风||v. 使公开，宣扬；（使）通风；（使）晾干，（使）烘干；播送，播放；<古>出去透气；<古>炫耀，夸示
all,英/ɔːl/美/ɔːl/,det. 全部；每一个；极度，尽量；无论什么，任何；唯一，仅仅||adj. 全部的；每一个的；任何的；尽可能多的；全然是……的，完全表现出……的；（某一体征）显著突出的||adv. 完全地；各方，各选手；非常，太||pron. 所有，全部；唯一||n. 全部，所有||【名】 （All）（英、美、巴、加）奥尔（人名）
allow,英/əˈlaʊ/美/əˈlaʊ/,v. 允许，准许；使有可能；任凭；<正式>接受，认可；促使；（特地）酌留；承认，同意；让对方得分
almost,英/ˈɔːlməʊst/美/ˈɔːlmoʊst/,adv. 几乎，差不多
alone,英/əˈləʊn/美/əˈloʊn/,adj. 独自的；单独的；孤独的，无依无靠的；唯一的||adv. 独自，单独；独力，单干（地）；单，只；仅仅……就
along,英/əˈlɒŋ/美/əˈlɔːŋ/,prep. 沿着，顺着；靠着……边；在某处||adv. 向前；一起，一道；进行，进展；（前）来，到某处；到相当的程度；传播
already,英/ɔːlˈredi/美/ɔːlˈredi/,adv. 已经，早已；<美，非正式>马上，够了（用于表达不耐烦或气恼）
also,英/ˈɔːlsəʊ/美/ˈɔːlsoʊ/,adv. 此外，而且；也，同样||conj. 另外，又||【名】 （Also）（罗）阿尔索（人名）
always,英/ˈɔːlweɪz/美/ˈɔːlweɪz/,adv. 总是，每次都是；一直，长久以来；永远；老是，一再；总还有（表示有另一种可能）
among,英/əˈmʌŋ/美/əˈmʌŋ/,prep. 在……当中，周围是；与……在一起；……之一；在……群体中；为……所共有；彼此间；以及
amount,英/əˈmaʊnt/美/əˈmaʊnt/,n. 数量，量；金额，钱数；（感情、质量的）程度||v. 达到，总计（amount to）；等于，意味着（amount to）；发展成，变成（amount to）
and,英/ænd;ənd/美/ænd;ənd/,conj. 和，与；就；而且；但是；然后||n. （And）人名；（土、瑞典）安德
angle,英/ˈæŋɡ(ə)l/美/ˈæŋɡ(ə)l/,n. 角；倾斜，斜角；角度；视角，立场；<美>不可告人的动机；<美>诡计，狡猾的手段；角铁，角钢；<古>鱼钩||v. 斜移，斜置；向（特定人群）提供资讯，定位于；博取，谋取；垂钓，钓鱼；（使）朝向，（使）转向
animal,英/ˈænɪm(ə)l/美/ˈænɪm(ə)l/,n. 动物；兽类；<非正式>衣冠禽兽，畜牲；某一类人或物||adj. 动物的；肉体的，肉欲的；取自动物的；（胚胎）动物极的
answer,英/ˈɑːnsə(r)/美/ˈænsər/,v. 回答，答复；回复；接电话；应门；答（题）；回应，反击；满足，适合；与……相符，相配；解决（问题）||n. 回答，答复；答案；解决办法；回信，回函；接听，应门；相当的人，对应物
any,英/ˈeni/美/ˈeni/,det. 任何的，任一的；一点，些许；不寻常的；尽可能多的，所有的||pron. 任何一个；任何数量，任一数额||adv. 一点，丝毫；<美，非正式>压根儿||adj. 任何的，任一的；一点，一些||【名】 （Any）（美、俄、法、墨、巴）阿尼（人名）
anyone,英/ˈeniwʌn/美/ˈeniwʌn/,pron. 任何人；某个人；任何……的人；重要人物；（没有）一个人（用于否定句）；任何一个人
anything,英/ˈeniθɪŋ/美/ˈeniθɪŋ/,pron. 任何事物 （用于含有否定意义的陈述句中）；某事物（用于疑问句和条件分句中）；任一事物（强调）；任何……的事物（接后置修饰语）；任何（接近、像……的）事物；（某范围的）任何事物；重要东西，重要事物；某一限定范围之内的任何一个数量
appear,英/əˈpɪə(r)/美/əˈpɪr/,v. 出现，呈现；首次使用，起源；出庭；演出，出场；出版，发表；记载，提及；看来，似乎；表现得……；<非正式>到达
apply,英/əˈplaɪ/美/əˈplaɪ/,v. 申请；涂，敷；施加，实施；应用，运用；踩（刹车）；适用，适合；指称
area,英/ˈeəriə/美/ˈeriə/,n. 地区，区域；场地，地方；领域；面积；部位；罚球区||【名】 （Area）（西）阿雷亚（人名）
argue,英/ˈɑːɡjuː/美/ˈɑːrɡjuː/,v. 主张，认为；说服；争论，争辩；争吵；提出质疑；提出理由||【名】 （Argue）（英、法）阿格（人名）
arm,英/ɑːm/美/ɑːrm/,n. 手臂，上肢；武器，军备；扶手；袖子；职能部门；臂（状部件）；盾徽，纹章；狭长港湾；臂力||v. 武装，备战；提供，配备；使（炸弹等）随时爆炸，准备发射
around,英/əˈraʊnd/美/əˈraʊnd/,adv. 围绕，环绕；大约；周围，四周；以圆周计算；到处，向各处；转弯，掉头；闲散地，无目的地；循环往复地；出现，可用；活跃||prep. 围绕，环绕；到处，向各处；在那边，到那边；在……周围，在附近；大约，大概；以……为中心；避开，绕过
arrive,英/əˈraɪv/美/əˈraɪv/,v. 到达，抵达；送达，寄到；发生，出现，诞生；开始，到来；成功，出名；作出（决定）||【名】 （Arrive）（法）阿里夫（人名）
art,英/ɑːt/美/ɑːrt/,n. 美术，艺术；艺术品；技术，技巧；人文学科；艺术活动（the arts）||adj. 艺术性的||v. <古>be 的第二人称单数现在式
article,英/ˈɑːtɪk(ə)l/美/ˈɑːrtɪk(ə)l/,n. 文章，论文；物品；条款，条文；冠词；见习契约，见习期||v. 见习，签约做实习生；进行控告；使……受协议条款的约束
as,英/æz;əz/美/æz;əz/,prep. 作为；以……身份；当作；像，如同；当……时||adv. （程度或数量上）同样，一样；例如，诸如||conj. 像……一样；（说明某事应完成的时间或发生的频率）；照……方式，和……一样；正如，如同；当……时候，在……时候；虽然，尽管；因为，由于；（关系）就像，相当于；以至于（与so或such连用表结果）
ask,英/ɑːsk/美/æsk/,v. 询问，打听；要求，请求；邀请，约请 ；指望，期待||【名】 （Ask）（芬、瑞典）阿斯克（人名）
assist,英/əˈsɪst/美/əˈsɪst/,v. 帮助，协助；<古>参加，出席||n. （球赛中的）助攻；资助，帮助
attack,英/əˈtæk/美/əˈtæk/,v. 批评，抨击；侵蚀，侵害；全力应对，奋力处理；袭击，攻击；（体育比赛中）进攻||n. （疾病的）突然发作；（情感的）一阵突发；（体育运动中的）进攻；袭击，攻击；批评，抨击；进攻队员；（病虫等的）损害，伤害||【名】 （Attack）（瑞典）阿塔克（人名）
attempt,英/əˈtempt/美/əˈtempt/,v. 努力，尝试||n. 试图，努力；企图杀害；（运动员创造记录的）尝试，冲击
attend,英/əˈtend/美/əˈtend/,v. 随同，陪同；经常去，定期去(学校、教堂等)；伴随……而至，（作为结果）伴随；出席，参加；注意，专心；处理，照料；致力于
attention,英/əˈtenʃ(ə)n/美/əˈtenʃ(ə)n/,n. 注意；注意力；照料；兴趣；立正；殷勤，关心
attract,英/əˈtrækt/美/əˈtrækt/,v. 吸引；（物体间）产生引力；引起；有吸引力
aunt,英/ɑːnt/美/ænt/,n. 姑妈，伯母，舅妈，阿姨，婶婶
